personLabel,categoryLabel,year,age
Отто Штерн,Нобелевская премия по физике,1943,55
Роджер Пенроуз,Нобелевская премия по физике,2020,89
Дэвид Таулесс,Нобелевская премия по физике,2016,82
Райнер Вайс,Нобелевская премия по физике,2017,85
Герберт Крёмер,Нобелевская премия по физике,2000,72
Теодор Хенш,Нобелевская премия по физике,2005,64
Хорст Штёрмер,Нобелевская премия по физике,1998,49
Уильям Алфред Фаулер,Нобелевская премия по физике,1983,72
Клинтон Джозеф Дэвиссон,Нобелевская премия по физике,1937,56
Арно Аллан Пензиас,Нобелевская премия по физике,1978,45
Уильям Лоренс Брэгг,Нобелевская премия по физике,1915,25
Ян Дидерик Ван-дер-Ваальс,Нобелевская премия по физике,1910,73
Джордж Смут,Нобелевская премия по физике,2006,61
Джон Клаузер,Нобелевская премия по физике,2022,80
Субраманьян Чандрасекар,Нобелевская премия по физике,1983,73
Эмилио Джино Сегре,Нобелевская премия по физике,1959,54
Карл Манне Георг Сигбан,Нобелевская премия по физике,1924,38
Альбер Ферт,Нобелевская премия по физике,2007,69
Джек Стейнбергер,Нобелевская премия по физике,1988,67
Джон Роберт Шриффер,Нобелевская премия по физике,1972,41
Эдуард Виктор Эплтон,Нобелевская премия по физике,1947,55
Жан Батист Перрен,Нобелевская премия по физике,1926,56
Исаму Акасаки,Нобелевская премия по физике,2014,85
Уиллис Лэмб,Нобелевская премия по физике,1955,42
Роберт Лафлин,Нобелевская премия по физике,1998,48
Клод Коэн-Таннуджи,Нобелевская премия по физике,1997,64
Лео Эсаки,Нобелевская премия по физике,1973,48
Джордж Паджет Томсон,Нобелевская премия по физике,1937,45
Барри Бэриш,Нобелевская премия по физике,2017,81
Луис Альварес,Нобелевская премия по физике,1968,57
Чарльз Као,Нобелевская премия по физике,2009,76
Джон Хазбрук Ван Флек,Нобелевская премия по физике,1977,78
Эрнест Орландо Лоуренс,Нобелевская премия по физике,1939,38
Перси Бриджмен,Нобелевская премия по физике,1946,64
Бертон Рихтер,Нобелевская премия по физике,1976,45
Питер Хиггс,Нобелевская премия по физике,2013,84
Денеш Габор,Нобелевская премия по физике,1971,71
Ханс Бете,Нобелевская премия по физике,1967,61
Юджин Вигнер,Нобелевская премия по физике,1963,61
Чарлз Томсон Рис Вильсон,Нобелевская премия по физике,1927,58
Жорес Иванович Алфёров,Нобелевская премия по физике,2000,70
Эдвард Миллс Парселл,Нобелевская премия по физике,1952,40
Уильям Филлипс,Нобелевская премия по физике,1997,49
Уильям Генри Брэгг,Нобелевская премия по физике,1915,53
Артур Леонард Шавлов,Нобелевская премия по физике,1981,60
Генри Уэй Кендалл,Нобелевская премия по физике,1990,64
Джон Костерлиц,Нобелевская премия по физике,2016,73
Мелвин Шварц,Нобелевская премия по физике,1988,56
Николас Бломберген,Нобелевская премия по физике,1981,61
Энтони Хьюиш,Нобелевская премия по физике,1974,50
Алексей Алексеевич Абрикосов,Нобелевская премия по физике,2003,75
Йоитиро Намбу,Нобелевская премия по физике,2008,87
Айвор Джайевер,Нобелевская премия по физике,1973,44
Бертрам Брокхауз,Нобелевская премия по физике,1994,76
Джозеф Хотон Тейлор,Нобелевская премия по физике,1993,52
Кай Манне Бёрье Сигбан,Нобелевская премия по физике,1981,63
Леон Макс Ледерман,Нобелевская премия по физике,1988,66
Сесил Фрэнк Пауэлл,Нобелевская премия по физике,1950,47
Роберт Колман Ричардсон,Нобелевская премия по физике,1996,59
Сэмюэл Тинг,Нобелевская премия по физике,1976,40
"Франк, Илья Михайлович",Нобелевская премия по физике,1958,50
Энтони Джеймс Леггетт,Нобелевская премия по физике,2003,65
Кеннет Вильсон,Нобелевская премия по физике,1982,46
Джером Айзек Фридман,Нобелевская премия по физике,1990,60
Патрик Мейнард Стюарт Блэкетт,Нобелевская премия по физике,1948,51
Стивен Чу,Нобелевская премия по физике,1997,49
Герард ’т Хоофт,Нобелевская премия по физике,1999,53
Брайан Дэвид Джозефсон,Нобелевская премия по физике,1973,33
Поликарп Куш,Нобелевская премия по физике,1955,44
Синъитиро Томонага,Нобелевская премия по физике,1965,59
Уолтер Хаузер Браттейн,Нобелевская премия по физике,1956,54
Чарлз Хард Таунс,Нобелевская премия по физике,1964,49
Янг Чжэньнин,Нобелевская премия по физике,1957,35
Фредерик Райнес,Нобелевская премия по физике,1995,77
Джулиан Швингер,Нобелевская премия по физике,1965,47
Риккардо Джаккони,Нобелевская премия по физике,2002,71
Лев Давидович Ландау,Нобелевская премия по физике,1962,54
Марри Гелл-Манн,Нобелевская премия по физике,1969,40
Пётр Леонидович Капица,Нобелевская премия по физике,1978,84
Исидор Айзек Раби,Нобелевская премия по физике,1944,46
Раймонд Дэвис,Нобелевская премия по физике,2002,88
Карл Дейвид Андерсон,Нобелевская премия по физике,1936,31
Оуэн Ричардсон,Нобелевская премия по физике,1928,49
Габриель Липман,Нобелевская премия по физике,1908,63
Уильям Брэдфорд Шокли,Нобелевская премия по физике,1956,46
Нильс Густав Дален,Нобелевская премия по физике,1912,43
Чарлз Гловер Баркла,Нобелевская премия по физике,1917,40
Джек Килби,Нобелевская премия по физике,2000,77
Джеймс Уотсон Кронин,Нобелевская премия по физике,1980,49
Роберт Вудро Вильсон,Нобелевская премия по физике,1978,42
Рассел Алан Халс,Нобелевская премия по физике,1993,43
Стивен Вайнберг,Нобелевская премия по физике,1979,46
Игорь Евгеньевич Тамм,Нобелевская премия по физике,1958,63
Луи Эжен Феликс Неэль,Нобелевская премия по физике,1970,66
Масатоси Косиба,Нобелевская премия по физике,2002,76
Хидэки Юкава,Нобелевская премия по физике,1949,42
Жорж Шарпак,Нобелевская премия по физике,1992,68
Ли Чжэндао,Нобелевская премия по физике,1957,31
Оуэн Чемберлен,Нобелевская премия по физике,1959,39
